State_Name,City,"Round(AVG(Mean),1)","Round(AVG(Median),1)"
Massachusetts,Uxbridge,124378,300000
Ohio,Bexley,124349,110140
Texas,Buda,124270,300000
Missouri,Clayton,124222.7,203946.3
"New York",Seaford,124196.5,117211
"New York",Farmingville,124185,115702
"New York","Stewart Manor",124149,300000
Massachusetts,Andover,124116,300000
"New York",Bridgehampton,124033.5,111914
"New Hampshire",Stratham,124010,300000
Colorado,Conifer,123998,300000
Ohio,Hilliard,123961.8,204194.2
"Rhode Island",Seekonk,123912,300000
Massachusetts,"North Andover",123752.3,173719.7
California,"Santa Clara",123682.1,179375
Massachusetts,Arlington,123628.8,170922.2
Ohio,"Chagrin Falls",123582.5,116387
Connecticut,Burlington,123550.5,204101
California,"Playa Del Rey",123371,123246.5
"New Hampshire",Bedford,123333,104997
Connecticut,"West Hartford",123303.7,221548.7
Massachusetts,Newton,123219,300000
Pennsylvania,Collegeville,123211,112111
"New York",Lincolndale,123184,120060
"New Jersey",Millington,123103,106279
California,Herlong,123055,300000
"New York","Massapequa Park",122882,221743.4
Alabama,Odenville,122838.7,139408.3
Texas,"Highland Village",122832,300000
Massachusetts,Abington,122831,300000
"South Carolina","Johns Island",122823,300000
Oregon,"West Linn",122818,106896.3
Michigan,Rochester,122633.5,199835.5
Ohio,Powell,122556,300000
Virginia,Warrenton,122447.3,179349.3
"New York",Elmsford,122366.5,193234
California,"Sierra Madre",122326,106720.5
"New York","Huntington Station",122308.5,203339.5
Florida,Aventura,122284.2,160135
Massachusetts,Marshfield,122255.7,169465.3
Connecticut,"New Fairfield",122211.5,206146
"New Hampshire",Pelham,122178,300000
Maryland,"Forest Hill",122177.5,124926.5
Connecticut,Centerbrook,122136,300000
Illinois,"Carol Stream",122097.5,199679
California,"Cameron Park",122054,121110
Florida,"Cooper City",121979,239761.7
"New Jersey",Ringoes,121976,114165
Pennsylvania,Wynnewood,121970.3,112699
"New Jersey",Paramus,121952,164322.7
"New York","White Plains",121896.8,160171.2
Massachusetts,Northborough,121888.5,106872
Oregon,"Happy Valley",121885,300000
Michigan,Dexter,121875.5,206556
Connecticut,Glastonbury,121767.5,300000
"New Jersey",Oradell,121729,300000
Maryland,Clinton,121692,106478
Massachusetts,Norwell,121653,114268
"New York",Blauvelt,121606.7,162618.7
Washington,Newcastle,121569.5,103726
California,Sunnyvale,121553.5,132776
Wisconsin,Germantown,121533,300000
Illinois,Elburn,121476.5,116096.5
Massachusetts,Melrose,121412.3,225745.3
Massachusetts,Hingham,121290,112759
"New Jersey",Mickleton,121251,112554
Virginia,Centreville,121188.4,175982.6
"New York","Lake Grove",121167,117847
Colorado,Larkspur,121159,112113
Texas,Tomball,121059.7,108081.7
"New York",Bayville,120921,103254
"New Jersey",Newton,120888.7,173924
"New Jersey",Howell,120885,300000
California,"Laguna Niguel",120875.1,136506.3
Maryland,Huntingtown,120836,122762
Virginia,Arlington,120821.5,144748.1
Georgia,Alpharetta,120771.8,129578.9
"New Hampshire",Windham,120736,111646
Ohio,Lewis,120713,113199
Minnesota,Minnetonka,120690.4,151228.8
Washington,Bellevue,120660.6,135474.6
"New Jersey",Bridgewater,120626,172631.7
Connecticut,Sherman,120615,107532
California,"Rancho Santa Margarita",120556.4,118476.8
"New York","Shelter Island",120352,300000
"New Jersey",Allendale,120255,116804
Tennessee,Brentwood,120246.3,108089.7
Pennsylvania,Fairview,120210.5,207954.5
"North Carolina",Summerfield,120146,108197
"New York","Miller Place",119979.5,115485
Florida,Lithia,119950,116789
Maine,"Cape Elizabeth",119928,107529
"New Jersey","Bay Head",119923,112255
"New York",Oceanside,119904.7,234995.7
"New York","Shrub Oak",119859,300000
California,"Studio City",119846.5,233076
"New York",Laurelton,119799,300000
Arizona,Anthem,119672.7,168441.3
"New Jersey",Ramsey,119641,300000
Maryland,Bowie,119568.8,149093.8
Pennsylvania,"Glen Mills",119533,300000
Massachusetts,"North Reading",119524,111509
"New Jersey",Quakertown,119500,98909
Pennsylvania,Wallingford,119494,300000
"New Jersey",Cresskill,119483,300000
Minnesota,Excelsior,119473,103456
California,Clayton,119428.5,119296.5
"New Jersey","Budd Lake",119379,300000
Iowa,Slater,119378,300000
Connecticut,Weatogue,119367,102341.5
Louisiana,Madisonville,119338.5,94011
Connecticut,Colchester,119304,112555
Massachusetts,Carver,119269,300000
Maryland,"St Leonard",119254,300000
"New Jersey",Mahwah,119240.5,111672.5
California,Milpitas,119131.6,122828.2
Massachusetts,"East Freetown",119120,111071
"New Jersey","Spring Lake",119086,93109
Washington,Issaquah,118903.3,232981.3
"New Hampshire",Hollis,118896,300000
Massachusetts,Acton,118890,124665
Pennsylvania,Coopersburg,118849,300000
"New York",Goshen,118828,123088
"New Jersey",Plainsboro,118805,137948.5
Texas,"Flower Mound",118701,178768.8
Massachusetts,Holden,118645,300000
Missouri,Chesterfield,118630,165740.8
California,"Walnut Creek",118624.6,112899
Massachusetts,Watertown,118624.3,229034.3
Michigan,Romeo,118613,122002
Connecticut,Madison,118496,300000
"New York",Commack,118461.3,108618.3
Connecticut,Cheshire,118421,115115.5
Pennsylvania,Malvern,118391.5,185734
Virginia,Midlothian,118386.6,187875.4
Wisconsin,Fitchburg,118365,300000
Florida,Parkland,118346,112964
Pennsylvania,Sewickley,118305.7,101767.7
"New Jersey",Shrewsbury,118258.5,192840
"New York","Valley Stream",118193.6,168355.6
Texas,"Mont Belvieu",118174,202521
Maine,Kennebunk,118117,86807
"New Jersey",Norwood,118113,94877
Utah,"Saratoga Springs",118091,106682
Massachusetts,"East Bridgewater",118081.3,300000
"New York",Bethpage,118079,300000
"New York",Pleasantville,118072,108164
Massachusetts,Wilmington,118001,111923
"New Jersey",Margate,117957,300000
"New York",Amagansett,117900,101123
California,"San Ramon",117885.4,141478.2
Maryland,Arnold,117882,109882.5
"New York",Loudonville,117882,102112
"New Jersey","Cedar Grove",117753,214867
"Rhode Island","East Greenwich",117738,101405.5
Maryland,Accokeek,117700,110583
Michigan,Napoleon,117686,106746
Maryland,"Glenn Dale",117633,119701
California,Winchester,117607,300000
"New York","East Setauket",117545.8,167563.6
"New York",Congers,117335,93469
Illinois,"Highland Park",117319,103436.3
Connecticut,"East Lyme",117312,106865
"New Jersey","River Edge",117311,188683.5
California,Encinitas,117298.5,109243.2
Massachusetts,Holbrook,117238.5,189374.5
"New York",Plainview,117065,165039.3
Texas,"Sugar Land",117034.3,173061.7
Pennsylvania,Mcmurray,116992,300000
"New Jersey",Wayne,116975.8,203951.5
Massachusetts,Groton,116936,99801
Connecticut,"Old Saybrook",116901,195611.5
"New York",Rush,116881,89405
Washington,Covington,116880,300000
"New Jersey",Shamong,116856,300000
Maryland,Mitchellville,116790,116168
California,Soquel,116756,300000
Massachusetts,Longmeadow,116693,110033
"New Hampshire",Brentwood,116549,97125
"New Jersey",Colonia,116505.5,208204.5
Connecticut,"Gales Ferry",116470,111421
Indiana,Carmel,116447.4,178121.2
"New York",Washingtonville,116318,201437
Massachusetts,Ayer,116236,114277
Virginia,Poquoson,116210,108981
Louisiana,Mandeville,116183.5,160830.8
Pennsylvania,Murrysville,116163.3,110522.7
Georgia,Watkinsville,116157,110719
Minnesota,"Long Lake",116124.7,160591.3
"New York",Malverne,116113,206321.5
Mississippi,Coldwater,116102,300000
California,"Redondo Beach",116038.9,187587.1
Pennsylvania,Horsham,116036,104483.5
Maryland,Rockville,116024.4,185370.8
Utah,"Park City",116005,113647.7
Maryland,Sykesville,115987.8,206081
Florida,"North Palm Beach",115950,80646
"New York",Nesconset,115920,115786
"New Jersey","Kendall Park",115882.7,104247
"New Mexico","Los Alamos",115840.8,202830.2
California,"Hawaiian Gardens",115804,96094
"New Jersey","River Vale",115779,300000
Minnesota,"Pine Island",115769,113325
Texas,"Deer Park",115766,116007
"New Jersey",Hillsborough,115693.8,109518.5
Massachusetts,"West Boylston",115656,102279
Massachusetts,"North Falmouth",115636,300000
California,Cardiff-by-the-sea,115526,300000
"North Dakota",Williston,115516,203631
Texas,"The Woodlands",115511.8,191328.4
Virginia,Dumfries,115510.3,170530.3
Virginia,Aldie,115480,102170.5
"New York","Kings Park",115443,172107.7
California,"La Selva Beach",115367,103680
Utah,"North Logan",115292,300000
California,"Culver City",115271.5,149461
Washington,Richland,115261.2,235998.5
Wisconsin,Hubertus,115154,107390
"New York",Islip,115139.5,204544
California,"Glen Ellen",115139,87533
Texas,Cypress,115092.6,174232.6
Pennsylvania,Newtown,115077.7,101745.3
Minnesota,"Elko New Market",115064,103051
